management,subscriber_id,md_id,date,gas_consumption,source,month,year,season,heating_season,month_name
г.Амвросиевка,101000006026,2762576,2020-01-01,643,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006016,2762574,2020-01-01,1093,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007762,3040777,2020-01-01,11201,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000009204,1759834,2020-01-01,45000,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007761,1755992,2020-01-01,29029,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000011666,1738326,2020-01-01,22433,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001999,1742216,2020-01-01,8986,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000003911,1748694,2020-01-01,31049,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001323,1740076,2020-01-01,39664,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002998,1745560,2020-01-01,4950,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000000181,4024986,2020-01-01,912,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006002,1753042,2020-01-01,2049,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000008624,1758340,2020-01-01,34981,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000004381,1750302,2020-01-01,68130,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000005491,2713479,2020-01-01,2885,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012226,1739104,2020-01-01,15400,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000008623,2592325,2020-01-01,6491,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000002002,1742228,2020-01-01,13881,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000005490,2713477,2020-01-01,1841,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012012,3514973,2020-01-01,3808,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009205,1759838,2020-01-01,34868,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006008,2764579,2020-01-01,561,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001321,1740062,2020-01-01,27944,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000011708,1738442,2020-01-01,13806,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000001320,1740058,2020-01-01,48474,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002003,1742230,2020-01-01,3025,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000009822,3027989,2020-01-01,10800,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000011774,2671640,2020-01-01,14662,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009203,1759832,2020-01-01,60443,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012227,2896129,2020-01-01,5680,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001324,1740078,2020-01-01,39607,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005492,2713481,2020-01-01,1623,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005986,1753014,2020-01-01,9857,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000003914,1748704,2020-01-01,25116,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000003213,1746302,2020-01-01,23323,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001328,4006247,2020-01-01,800,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005990,1753026,2020-01-01,693,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009200,1759826,2020-01-01,18965,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012411,1739474,2020-01-01,37380,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009201,1759830,2020-01-01,38657,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007289,1754498,2020-01-01,5824,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001994,1742202,2020-01-01,15800,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000011302,1737302,2020-01-01,36784,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000001995,1742206,2020-01-01,42353,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009208,1759848,2020-01-01,54524,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005495,2713485,2020-01-01,1208,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002903,3736143,2020-01-01,5586,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002663,1744458,2020-01-01,78233,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000001327,1740090,2020-01-01,50525,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000003913,2880970,2020-01-01,17250,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000012412,1739476,2020-01-01,25755,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005494,2713483,2020-01-01,791,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005493,2714344,2020-01-01,1005,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005991,1753028,2020-01-01,13433,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000008626,1758342,2020-01-01,23699,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000001325,1740082,2020-01-01,47452,интернет,1,2020,winter,1,January
г.Амвросиевка,101000003912,1748698,2020-01-01,8627,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000009928,1761984,2020-01-01,82140,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000004380,2900053,2020-01-01,12387,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010459,1735842,2020-01-01,12634,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000003910,1748692,2020-01-01,28663,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006009,1753046,2020-01-01,9739,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000008621,1758336,2020-01-01,8091,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000005487,2713087,2020-01-01,607,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007471,3515016,2020-01-01,3940,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000341,1746968,2020-01-01,14830,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012225,3586652,2020-01-01,3590,контрольное снятие,1,2020,winter,1,January
